GeneSym,protein
MAPK6,5597
MAPK8,5599
MAPK8IP3,23162
MAPK9,5601
MAPKAPK2,9261
MAPRE1,22919
MAPT,4137
MARCHF4,57574
MARCHF6,10299
MARCHF9,92979
MARK2,2011
MARK4,57787
MARS,4141
MARVELD3,91862
MAT2B,27430
MATK,4145
MATN1,4146
MATN3,4148
MAU2,23383
MAVS,57506
MAZ,4150
MB,4151
MB21D2,151963
MBD2,8932
MBD3,53615
MBD6,114785
MBL2,4153
MBTD1,54799
MBTPS1,8720
MBTPS2,51360
MC1R,4157
MC4R,4160
MCAT,27349
MCCC1,56922
MCCC2,64087
MCEE,84693
MCF2,4168
MCHR1,2847
MCHR2,84539
MCMBP,79892
MCOLN1,57192
MCRS1,10445
MCTS1,28985
MDFI,4188
MDGA1,266727
MDGA2,161357
MDH2,4191
MDM1,56890
MDM4,4194
ME1,4199
MEAF6,64769
MECOM,2122
MECP2,4204
MED1,5469
MED11,400569
MED12,9968
MED13,9969
MED13L,23389
MED14,9282
MED15,51586
MED16,10025
MED17,9440
MED19,219541
MED20,9477
MED21,9412
MED22,6837
MED23,9439
MED24,9862
MED26,9441
MED28,80306
MED29,55588
MED6,10001
MED7,9443
MED8,112950
MED9,55090
MEDAG,84935
MEF2BNB,729991
MEF2D,4209
MEGF8,1954
MEI1,150365
MEIS2,4212
MEIS3,56917
MELK,9833
MEN1,4221
MEOX2,4223
MEPCE,56257
MESDC2,23184
MESP1,55897
MEST,4232
METAP1,23173
METRNL,284207
METTL10,399818
METTL13,51603
METTL14,57721
METTL16,79066
METTL17,64745
METTL18,92342
METTL20,254013
METTL21A,151194
METTL22,79091
METTL23,124512
METTL25,84190
METTL3,56339
METTL9,51108
MFAP1,4236
MFAP3,4238
MFAP3L,9848
MFAP4,4239
MFF,56947
MFI2,4241
MFN1,55669
MFSD10,10227
MFSD3,113655
MFSD6,54842
MFSD8,256471
MFSD9,84804
MGAT3,4248
MGEA5,10724
MGP,4256
MGRN1,23295
MGST2,4258
MICAL1,64780
MICALL1,85377
MICU1,10367
MICU2,221154
MID1IP1,58526
MID2,11043
MIEF1,54471
MIEF2,125170
MIF4GD,57409
MINA,84864
MINK1,50488
MIOS,54468
MITD1,129531
MKKS,8195
MKL1,57591
MKNK2,2872
MKRN2,23609
MKS1,54903
MLEC,9761
MLF1,4291
MLH1,4292
MLH3,27030
MLIP,90523
MLLT1,4298
MLLT10,8028
MLLT6,4302
MLPH,79083
MLST8,64223
MLXIP,22877
MLYCD,23417
MMACHC,25974
MMP10,4319
MMP14,4323
MMP19,4327
MMP20,9313
MMP24,10893
MMP25,64386
MMP26,56547
MMP3,4314
MMP7,4316
MMRN2,79812
MNDA,4332
MNS1,55329
MNT,4335
MNX1,3110
MOB2,81532
MOBP,4336
MOCS3,27304
MOGAT3,346606
MON1A,84315
MON1B,22879
MON2,23041
MORC1,27136
MORC2,22880
MORC4,79710
MOV10,4343
MPC2,25874
MPDU1,9526
MPEG1,219972
MPG,4350
MPHOSPH6,10200
MPLKIP,136647
MPP2,4355
MPP7,143098
MPPE1,65258
MPV17,4358
MPZ,4359
MRAP2,112609
MREG,55686
MRFAP1L1,114932
MRGBP,55257
MRGPRX1,259249
MRI1,84245
MRM1,79922
MRPL13,28998
MRPL18,29074
MRPL19,9801
MRPL22,29093
MRPL24,79590
MRPL28,10573
MRPL3,11222
MRPL32,64983
MRPL34,64981
MRPL36,64979
MRPL37,51253
MRPL38,64978
MRPL40,64976
MRPL41,64975
MRPL42,28977
MRPL45,84311
MRPL46,26589
MRPL49,740
MRPL50,54534
MRPL51,51258
MRPL53,116540
MRPL55,128308
MRPS10,55173
MRPS17,51373
MRPS2,51116
MRPS21,54460
MRPS23,51649
MRPS25,64432
MRPS26,64949
MRPS27,23107
MRPS31,10240
MRPS34,65993
MRPS36,92259
MRPS9,64965
MRTO4,51154
MS4A12,54860
MS4A7,58475
MSANTD2,79684
MSC,9242
MSH3,4437
MSH4,4438
MSH6,2956
MSI1,4440
MSI2,124540
MSL2,55167
MSL3,10943
MSLN,10232
MSMB,4477
MSMO1,6307
MSN,4478
MSR1,4481
MSRB2,22921
MST1,4485
MSX1,4487
MTCH2,23788
MTCP1,4515
MTDH,92140
MTERF1,7978
MTERF4,130916
MTF1,4520
MTFMT,123263
MTG1,92170
MTHFD1L,25902
MTHFR,4524
MTHFSD,64779
MTIF2,4528
MTIF3,219402
MTMR1,8776
MTMR14,64419
MTMR2,8898
MTMR3,8897
MTMR6,9107
MTMR9,66036
MTNR1B,4544
MTR,4548
MTTP,4547
MUC12,10071
MUC5AC,4586
MUC6,4588
MUC7,4589
MUCL1,118430
MUT,4594
MUTYH,4595
MVB12A,93343
MVD,4597
MVK,4598
MXD1,4084
MYBBP1A,10514
MYBPC1,4604
MYBPC2,4606
MYBPH,4608
MYCBPAP,84073
MYEOV2,150678
MYF6,4618
MYH1,4619
MYH13,8735
MYH14,79784
MYH2,4620
MYH3,4621
MYH4,4622
MYH6,4624
MYH7B,57644
MYH8,4626
MYH9,4627
MYL1,4632
MYL10,93408
MYL12A,10627
MYL12B,103910
MYL2,4633
MYL4,4635
MYL5,4636
MYLIP,29116
MYLK3,91807
MYLK4,340156
MYNN,55892
MYO15B,80022
MYO18B,84700
MYO19,80179
MYO1A,4640
MYO1E,4643
MYO5A,4644
MYO6,4646
MYO9A,4649
MYO9B,4650
MYOC,4653
MYOCD,93649
MYOM1,8736
MYOM3,127294
MYRIP,25924
MYT1,4661
MZF1,7593
N4BP2L2,10443
N4BP3,23138
N6AMT2,221143
NAA10,8260
NAA11,84779
NAA15,80155
NAA20,51126
NAA25,80018
NAA35,60560
NAA38,84316
NAA40,79829
NAAA,27163
NAALADL2,254827
NAB1,4664
NAB2,4665
NACA,4666
NACA2,342538
NACAP1,83955
NACC1,112939
NADK2,133686
NADSYN1,55191
NAE1,8883
NAGK,55577
NAGPA,51172
NALCN,259232
NAMPT,10135
NANOS3,342977
NANP,140838
NANS,54187
NAP1L2,4674
NAPA,8775
NAPB,63908
NAPRT,93100
NAPSA,9476
NAT1,9
NAT2,10
NAT8,9027
NAT9,26151
NATD1,256302
NBPF3,84224
NCAM2,4685
NCAPD2,9918
NCAPD3,23310
NCCRP1,342897
NCF4,4689
NCKAP1,10787
NCKAP5,344148
NCL,4691
NCLN,56926
NCOA2,10499
NCOA3,8202
NCOA4,8031
NCOA6,23054
NCOA7,135112
NCOR1,9611
NCR1,9437
NCR2,9436
NDE1,54820
NDP,4693
NDRG1,10397
NDRG3,57446
NDRG4,65009
NDST1,3340
NDUFA10,4705
NDUFA13,51079
NDUFA2,4695
NDUFA3,4696
NDUFA4,4697
NDUFA4L2,56901
NDUFA7,4701
NDUFA9,4704
NDUFAB1,4706
NDUFAF1,51103
NDUFAF4,29078
NDUFAF5,79133
NDUFAF7,55471
NDUFB1,4707
NDUFB10,4716
NDUFB5,4711
NDUFB6,4712
NDUFB7,4713
NDUFB9,4715
NDUFC2,4718
NDUFS1,4719
NDUFS2,4720
NDUFS3,4722
NDUFS4,4724
NDUFS5,4725
NDUFS6,4726
NDUFS7,374291
NDUFS8,4728
NDUFV1,4723
NDUFV3,4731
NEB,4703
NEBL,10529
NECAB3,63941
NECAP1,25977
NEDD1,121441
NEDD4L,23327
NEFM,4741
NEK2,4751
NEK4,6787
NEK6,10783
NEK8,284086
NEK9,91754
NELFB,25920
NELFCD,51497
NELL2,4753
NEMF,9147
NENF,29937
NETO1,81832
NEU3,10825
NEURL1,9148
NEURL2,140825
NEURL4,84461
NEUROD4,58158
NEUROD6,63974
NEUROG1,4762
NEUROG2,63973
NEUROG3,50674
NF1,4763
NF2,4771
NFASC,23114
NFATC2,4773
NFATC3,4775
NFE2L1,4779
NFKBIB,4793
NFKBIL1,4795
NFS1,9054
NFU1,27247
NFX1,4799
NFXL1,152518
NFYB,4801
NFYC,4802
NGFRAP1,27018
NHEJ1,79840
NHLH1,4807
NHP2,55651
NHP2L1,4809
NID2,22795
NIF3L1,60491
NINJ2,4815
NIP7,51388
NIPAL3,57185
NIPSNAP3A,25934
NIT1,4817
NKAP,79576
NKD1,85407
NKD2,85409
NKIRAS1,28512
NKIRAS2,28511
NKRF,55922
NKX3-1,4824
NLE1,54475
NLN,57486
NLRC3,197358
NLRP10,338322
NLRP2,55655
NLRP3,114548
NLRP7,199713
NLRX1,79671
NMB,4828
NMD3,51068
NME3,4832
NME4,4833
NME5,8382
NME6,10201
NME7,29922
NMRAL1,57407
NMUR2,56923
NOB1,28987
NOD1,10392
NOD2,64127
NOL10,79954
NOL3,8996
NOL4L,140688
NOL7,51406
NOL8,55035
NOLC1,9221
NOM1,64434
NONO,4841
NOP16,51491
NOP56,10528
NOS1,4842
NOS2,4843
NOSIP,51070
NOSTRIN,115677
NOTCH2,4853
NOVA1,4857
NOX1,27035
NOX4,50507
NOXO1,124056
NPAT,4863
NPB,256933
NPBWR2,2832
NPDC1,56654
NPEPPS,9520
NPFF,8620
NPFFR1,64106
NPM3,10360
NPNT,255743
NPPA,4878
NPPB,4879
NPR1,4881
NPR2,4882
NPR3,4883
NPRL3,8131
NPTX2,4885
NPY,4852
NPY5R,4889
NQO2,4835
NR0B1,190
NR1D2,9975
NR1H2,7376
NR1H3,10062
NR1H4,9971
NR1I3,9970
NR2C1,7181
NR2C2AP,126382
NR2E3,10002
NR2F1,7025
NR2F6,2063
NR3C1,2908
NR4A1,3164
NR6A1,2649
NRAP,4892
NRAS,4893
NRBF2,29982
NRBP1,29959
NRCAM,4897
NREP,9315
NRG3,10718
NRG4,145957
NRIP2,83714
NRK,203447
NRSN2,80023
NRXN1,9378
NRXN3,9369
NSD1,64324
NSDHL,50814
NSFL1C,55968
NSL1,25936
NSMCE2,286053
NSMF,26012
NSRP1,84081
NSUN3,63899
NT5C,30833
NT5C2,22978
NT5C3A,51251
NT5DC3,51559
NTS,4922
NTSR1,4923
NUB1,51667
NUBP2,10101
NUBPL,80224
NUCB1,4924
NUCKS1,64710
NUDCD3,23386
NUDT10,170685
NUDT12,83594
NUDT14,256281
NUDT16,131870
NUDT16L1,84309
NUDT18,79873
NUDT19,390916
NUDT22,84304
NUDT5,11164
NUDT6,11162
NUDT9,53343
NUFIP2,57532
NUMA1,4926
NUMB,8650
NUMBL,9253
NUP133,55746
NUP153,9972
NUP155,9631
NUP160,23279
NUP210L,91181
NUP214,8021
NUP62CL,54830
NUP93,9688
NUP98,4928
NUPL2,11097
NVL,4931
NXF1,10482
NXF3,56000
NXF5,55998
NXPE3,91775
NXPH1,30010
NXPH3,11248
NYAP1,222950
NYAP2,57624
NYNRIN,57523
OAS1,4938
OAZ1,4946
OAZ2,4947
OAZ3,51686
OBFC1,79991
OBP2B,29989
OBSCN,84033
OCEL1,79629
ODAM,54959
ODC1,4953
ODF1,4956
ODF3,113746
OFCC1,266553
OGFOD2,79676
OGT,8473
OIP5,11339
OLFM1,10439
OLFM3,118427
OLFML3,56944
OLIG3,167826
OMG,4974
ONECUT1,3175
ONECUT2,9480
OPA1,4976
OPA3,80207
OPN4,94233
OPRK1,4986
OPRL1,4987
OPTC,26254
OR10J1,26476
OR1G1,8390
OR2W1,26692
OR3A1,4994
OR3A2,4995
OR51B4,79339
OR52A1,23538
OR8D2,283160
ORC2,4999
ORC5,5001
ORM1,5004
ORMDL1,94101
ORMDL3,94103
OS9,10956
OSBP,5007
OSBPL11,114885
OSBPL1A,114876
OSBPL2,9885
OSBPL3,26031
OSBPL8,114882
OSBPL9,114883
OSCAR,126014
OSGEP,55644
OSM,5008
OSTF1,26578
OSTM1,28962
OTC,5009
OTUB1,55611
OTUD1,220213
OTUD5,55593
OTUD6B,51633
OTULIN,90268
OTX2,5015
OVGP1,5016
OXCT1,5019
OXR1,55074
P2RX2,22953
P2RX4,5025
P2RX6,9127
P2RY1,5028
P2RY12,64805
P2RY2,5029
P2RY8,286530
PAAF1,80227
PABPC3,5042
PABPC4L,132430
PACRG,135138
PACRGL,133015
PACS2,23241
PACSIN3,29763
PADI1,29943
PADI2,11240
PADI3,51702
PAFAH1B3,5050
PAGR1,79447
PAH,5053
PAK1,5058
PAK1IP1,55003
PAK2,5062
PAK3,5063
PAK4,10298
PALB2,79728
PALD1,27143
PALM2,114299
PAN2,9924
PANK1,53354
PANK2,80025
PANK3,79646
PANX3,116337
PAPLN,89932
PAPOLG,64895
PAPSS1,9061
PAQR5,54852
PAQR6,79957
PAQR8,85315
PARD6A,50855
PARD6B,84612
PARG,8505
PARK2,5071
PARK7,11315
PARL,55486
PARN,5073
PARP1,142
PARP10,84875
PARP11,57097
PARP12,64761
PARP3,10039
PARP8,79668
PARPBP,55010
PASD1,139135
PATE1,160065
PAX1,5075
PAX2,5076
PAX7,5081
PBDC1,51260
PBLD,64081
PBX3,5090
PBXIP1,57326
PCBD1,5092
PCBD2,84105
PCBP2,5094
PCBP3,54039
PCCA,5095
PCCB,5096
PCDH10,57575
PCDH11X,27328
PCDH17,27253
PCDH19,57526
PCDH8,5100
PCDHA2,56146
PCDHA3,56145
PCDHA5,56143
PCDHAC2,56134
PCDHB15,56121
PCDHB3,56132
PCDHB8,56128
PCDHGA11,56105
PCF11,51585
PCGF3,10336
PCGF5,84333
PCID2,55795
PCIF1,63935
PCM1,5108
PCMT1,5110
PCMTD1,115294
PCMTD2,55251
PCNP,57092
PCNXL4,64430
PCP2,126006
PCP4,5121
PCP4L1,654790
PCSK2,5126
PCSK4,54760
PCSK9,255738
PCYT1A,5130
PCYT2,5833
PDCD11,22984
PDCD1LG2,80380
PDCD4,27250
PDCD6,10016
PDDC1,347862
PDE11A,50940
PDE1A,5136
PDE2A,5138
PDE3A,5139
PDE3B,5140
PDE4D,5144
PDE5A,8654
PDE6A,5145
PDE6B,5158
PDE6G,5148
PDE7A,5150
PDE7B,27115
PDE8A,5151
PDE8B,8622
PDE9A,5152
PDGFA,5154
PDGFC,56034
PDGFRA,5156
PDGFRB,5159
PDGFRL,5157
PDHA1,5160
PDHB,5162
PDIA2,64714
PDIA4,9601
PDIA6,10130
PDILT,204474
PDK3,5165
PDLIM3,27295
PDLIM7,9260
PDP1,54704
PDPK1,5170
PDPR,55066
PDRG1,81572
PDX1,3651
PDXDC1,23042
PDXK,8566
PDZD9,255762
PEBP1,5037
PEBP4,157310
PELI3,246330
PENK,5179
PER3,8863
PET100,100131801
PEX10,5192
PEX11A,8800
PEX11B,8799
PEX12,5193
PEX13,5194
PEX14,5195
PEX16,9409
PEX2,5828
PEX3,8504
PEX5,5830
PF4V1,5197
PFAS,5198
PFDN4,5203
PFDN6,10471
PFKFB1,5207
PFKFB3,5209
PGAM5,192111
PGAP2,27315
PGC,5225
PGD,5226
PGM1,5236
PGM5,5239
PGP,283871
PGR,5241
PGRMC2,10424
PHACTR4,65979
PHAX,51808
PHB,5245
PHB2,11331
PHC2,1912
PHC3,80012
PHEX,5251
PHF1,5252
PHF11,51131
PHF14,9678
PHF2,5253
PHF20,51230
PHF20L1,51105
PHF23,79142
PHF3,23469
PHF5A,84844
PHF6,84295
PHKB,5257
PHKG2,5261
PHLDB3,653583
PHLPP2,23035
PHOX2B,8929
PHRF1,57661
PHTF2,57157
PHYH,5264
PHYHD1,254295
PHYHIPL,84457
PI3,5266
PI4KA,5297
PI4KB,5298
PIAS1,8554
PIAS3,10401
PIAS4,51588
PIBF1,10464
PICK1,9463
PIDD1,55367
PIEZO1,9780
PIEZO2,63895
PIGC,5279
PIGH,5283
PIGM,93183
PIGN,23556
PIGP,51227
PIGR,5284
PIGX,54965
PIGY,84992
PIH1D1,55011
PIH1D2,120379
PIK3CA,5290
PIK3IP1,113791
PIK3R2,5296
PIK3R6,146850
PIM1,5292
PIM2,11040
PIM3,415116
PIN1,5300
PIN1P1,5301
PIN4,5303
PINK1,65018
PIP,5304
PIP4K2A,5305
PIP5K1A,8394
PIP5K1C,23396
PIPOX,51268
PITPNA,5306
PITPNC1,26207
PITPNM1,9600
PITPNM3,83394
PITRM1,10531
PITX1,5307
PITX3,5309
PKD2L1,9033
PKD2L2,27039
PKIG,11142
PKLR,5313
PKN3,29941
PLA1A,51365
PLA2G12A,81579
PLA2G15,23659
PLA2G16,11145
PLA2G1B,5319
PLA2G2D,26279
PLA2G4C,8605
PLA2G5,5322
PLA2G6,8398
PLA2G7,7941
PLAC1,10761
PLB1,151056
PLBD2,196463
PLCD4,84812
PLCXD1,55344
PLD3,23646
PLEKHA2,59339
PLEKHA4,57664
PLEKHA7,144100
PLEKHA8,84725
PLEKHB1,58473
PLEKHF2,79666
PLEKHG2,64857
PLEKHH1,57475
PLEKHH2,130271
PLEKHH3,79990
PLEKHJ1,55111
PLEKHM1,9842
PLEKHM2,23207
PLEKHM3,389072
PLEKHS1,79949
PLIN1,5346
PLK3,1263
PLP2,5355
PLTP,5360
PLXDC1,57125
PLXNB3,5365
PM20D2,135293
PMP2,5375
PMPCA,23203
PMPCB,9512
PMS1,5378
PMS2P1,5379
PMVK,10654
PNKD,25953
PNKP,11284
PNLIPRP1,5407
PNLIPRP2,5408
PNMA1,9240
PNMA3,29944
PNMAL2,57469
PNOC,5368
PNPLA2,57104
PNPLA6,10908
PNPLA8,50640
PNRC1,10957
PNRC2,55629
POC1B,282809
PODXL,5420
PODXL2,50512
POF1B,79983
POFUT1,23509
POGLUT1,56983
POLB,5423
POLD2,5425
POLD3,10714
POLD4,57804
POLDIP3,84271
POLI,11201
POLK,51426
POLL,27343
POLM,27434
POLN,353497
POLR1A,25885
POLR1D,51082
POLR2C,5432
POLR2G,5436
POLR2K,5440
POLR3A,11128
POLR3B,55703
POLR3C,10623
POLR3D,661
POLR3GL,84265
POMP,51371
POMT1,10585
POMT2,29954
PON1,5444
POP7,10248
POPDC2,64091
POU1F1,5449
POU2F1,5451
POU2F3,25833
POU3F2,5454
POU3F4,5456
PP2D1,151649
PPA1,5464
PPA2,27068
PPAN,56342
PPAP2A,8611
PPARA,5465
PPARGC1A,10891
PPBP,5473
PPCDC,60490
PPDPF,79144
PPFIA1,8500
PPFIA2,8499
PPFIBP1,8496
PPIA,5478
PPID,5481
PPIE,10450
PPIF,10105
PPIG,9360
PPIL2,23759
PPM1A,5494
PPM1D,8493
PPM1F,9647
PPM1G,5496
PPM1J,333926
PPM1L,151742
PPP1CA,5499
PPP1CB,5500
PPP1R12C,54776
PPP1R13B,23368
PPP1R14D,54866
PPP1R15A,23645
PPP1R16B,26051
PPP1R18,170954
PPP1R1A,5502
PPP1R1B,84152
PPP1R1C,151242
PPP1R2,5504
PPP1R37,284352
PPP1R3A,5506
PPP1R3C,5507
PPP1R3D,5509
PPP1R3E,90673
PPP2CA,5515
PPP2CB,5516
PPP2R2A,5520
PPP2R2C,5522
PPP2R5A,5525
PPP2R5B,5526
PPP3CA,5530
PPP3CC,5533
PPP3R1,5534
PPP3R2,5535
PPP4C,5531
PPP4R1L,55370
PPP4R2,151987
PPP4R4,57718
PPP6C,5537
PPP6R1,22870
PPRC1,23082
PPT1,5538
PPT2,9374
PPWD1,23398
PQLC1,80148
PRAM1,84106
PRAMEF12,390999
PRAP1,118471
PRB3,5544
PRDM15,63977
PRDM16,63976
PRDM5,11107
PRDM6,93166
PRDX1,5052
PRDX2,7001
PRDX5,25824
PRDX6,9588
PREB,10113
PRELID1,27166
PREP,5550
PRF1,5551
PRICKLE2,166336
PRICKLE3,4007
PRIM1,5557
PRIM2,5558
PRKAA1,5562
PRKAA2,5563
PRKACB,5567
PRKACG,5568
PRKAG1,5571
PRKAR1B,5575
PRKAR2A,5576
PRKCI,5584
PRKD2,25865
PRKDC,5591
PRKG1,5592
PRKY,5616
PRL,5617
PRLR,5618
PRMT6,55170
PRMT7,54496
PROC,5624
PROCR,10544
PROL1,58503
PROP1,5626
PROSC,11212
PROX1,5629
PROZ,8858
PRPF19,27339
PRPF39,55015
PRPF6,24148
PRPF8,10594
PRPH2,5961
PRPS1,5631
PRPSAP2,5636
PRR11,55771
PRR12,57479
PRR14,78994
PRR19,284338
PRR22,163154
PRR29,92340
PRR5L,79899
PRRC1,133619
PRRC2B,84726
PRRC2C,23215
PRRT2,112476
PRRT3,285368
PRRX1,5396
PRSS1,5644
PRSS3,5646
PRSS37,136242
PRTG,283659
PRTN3,5657
PRUNE,58497
PRUNE2,158471
PSAT1,29968
PSCA,8000
PSD2,84249
PSEN1,5663
PSG1,5669
PSG11,5680
PSG2,5670
PSIP1,11168
PSKH1,5681
PSKH2,85481
PSMA1,5682
PSMA2,5683
PSMA4,5685
PSMA5,5686
PSMB2,5690
PSMB3,5691
PSMB5,5693
PSMB9,5698
PSMC2,5701
PSMC3,5702
PSMC5,5705
PSMD1,5707
PSMD11,5717
PSMD13,5719
PSMD2,5708
PSMD4,5710
PSMD6,9861
PSMD7,5713
PSME1,5720
PSMF1,9491
PSMG3,84262
PSORS1C2,170680
PSPH,5723
PTCD2,79810
PTCH2,8643
PTCRA,171558
PTDSS2,81490
PTEN,5728
PTGDR,5729
PTGER3,5733
PTGES,9536
PTGES2,80142
PTGFR,5737
PTGIS,5740
PTGR2,145482
PTGS1,5742
PTH,5741
PTH2,113091
PTK6,5753
PTOV1,53635
PTP4A1,7803
PTPMT1,114971
PTPN1,5770
PTPN23,25930
PTPN3,5774
PTPRB,5787
PTPRC,5788
PTPRCAP,5790
PTPRD,5789
PTPRH,5794
PTPRN2,5799
PTPRO,5800
PTPRT,11122
PTPRZ1,5803
PTTG1IP,754
PUM2,23369
PURA,5813
PUS1,80324
PUS3,83480
PUS7,54517
PUS7L,83448
PVRL2,5819
PVRL4,81607
PWP1,11137
PWP2,5822
PWWP2A,114825
PXK,54899
PXMP4,11264
PXYLP1,92370
PYCR1,5831
PYCR2,29920
PYDC1,260434
PYGB,5834
PYGM,5837
PYGO2,90780
PYROXD1,79912
PYROXD2,84795
PYY,5697
QPCTL,54814
QSER1,79832
QSOX1,5768
QSOX2,169714
QTRT1,81890
R3HDM1,23518
R3HDM2,22864
R3HDM4,91300
RAB10,10890
RAB11A,8766
RAB11FIP2,22841
RAB12,201475
RAB14,51552
RAB18,22931
RAB1B,81876
RAB20,55647
RAB22A,57403
RAB24,53917
RAB25,57111
RAB26,25837
RAB27B,5874
RAB29,8934
RAB2B,84932
RAB30,27314
RAB33B,83452
RAB35,11021
RAB39A,54734
RAB3D,9545
RAB3GAP2,25782
RAB40C,57799
RAB4A,5867
RAB5A,5868
RAB5B,5869
RAB5C,5878
RAB6A,5870
RABAC1,10567
RABEP1,9135
RABEPK,10244
RABGEF1,27342
RABGGTA,5875
RABGGTB,5876
RAD23B,5887
RAD50,10111
RAD51AP1,10635
RAD51B,5890
RAD51C,5889
RAD52,5893
RAD54B,25788
RAD54L2,23132
RAD9A,5883
RADIL,55698
RAE1,8480
RAET1E,135250
RAF1,5894
RAG2,5897
RAI2,10742
RALA,5898
RALGAPA2,57186
RALGAPB,57148
RALGDS,5900
RALGPS1,9649
RALY,22913
RALYL,138046
RAMP2,10266
RANBP10,57610
RANBP17,64901
RANBP2,5903
RANBP3,8498
RANBP6,26953
RANBP9,10048
RANGAP1,5905
RANGRF,29098
RAP1GDS1,5910
RAP2C,57826
RAPGEF1,2889
RAPGEF2,9693
RAPGEF4,11069
RAPGEF6,51735
RAPGEFL1,51195
RAPSN,5913
RARB,5915
RARS2,57038
RASA3,22821
RASD2,23551
RASGEF1A,221002
RASGEF1C,255426
RASGRP2,10235
RASL10B,91608
RASL11B,65997
RASL12,51285
RASSF3,283349
RASSF6,166824
RASSF7,8045
RASSF9,9182
RAX,30062
RAX2,84839
RB1,5925
RBAK,57786
RBBP7,5931
RBBP8,5932
RBBP9,10741
RBKS,64080
RBM11,54033
RBM12,10137
RBM15B,29890
RBM20,282996
RBM27,54439
RBM3,5935
RBM34,23029
RBM4,5936
RBM48,84060
RBM4B,83759
RBM7,10179
RBMS1,5937
RBMX2,51634
RBMXL2,27288
RBMY2FP,159162
RBP1,5947
RBP2,5948
RBPMS2,348093
RC3H1,149041
RCAN3,11123
RCBTB1,55213
RCBTB2,1102
RCC1,1104
RCC2,55920
RCCD1,91433
RCE1,9986
RCHY1,25898
RCN2,5955
RCOR2,283248
RCOR3,55758
RCSD1,92241
RDH11,51109
RDH12,145226
RDH13,112724
RDM1,201299
RDX,5962
REC8,9985
RECQL5,9400
REEP3,221035
REEP5,7905
REEP6,92840
REG1A,5967
REG3A,5068
RELA,5970
RELL1,768211
RELL2,285613
RELT,84957
REN,5972
REPIN1,29803
RERE,473
RET,5979
REXO1,57455
REXO2,25996
REXO4,57109
RFC4,5984
RFK,55312
RFPL2,10739
RFPL3,10738
RFWD3,55159
RFX2,5990
RFX6,222546
RFXANK,8625
RFXAP,5994
RGAG1,57529
RGL2,5863
RGL4,266747
RGN,9104
RGS1,5996
RGS10,6001
RGS11,8786
RGS18,64407
RGS2,5997
RGS22,26166
RGS5,8490
RGS6,9628
RGS8,85397
RGS9BP,388531
RHAG,6005
RHBDF1,64285
RHBDL3,162494
RHD,6007
RHOBTB3,22836
RHOT1,55288
RHOV,171177
RHPN1-AS1,78998
RIBC1,158787
RIC8A,60626
RIMBP2,23504
RIMS1,22999
RIMS3,9783
RIN1,9610
RING1,6015
RINT1,60561
RIOK1,83732
RIOK3,8780
RIPPLY1,92129
RIT1,6016
RIT2,6014
RLBP1,6017
RLF,6018
RLIM,51132
RLN1,6013
RLN2,6019
RMDN1,51115
RMDN3,55177
RMND1,55005
RMND5B,64777
RNASE1,6035
RNASE3,6037
RNASEH1,246243
RNASEH2B,79621
RNASEH2C,84153
RND1,27289
RND2,8153
RNF103,7844
RNF111,54778
RNF112,7732
RNF113A,7737
RNF114,55905
RNF123,63891
RNF126,55658
RNF13,11342
RNF135,84282
RNF14,9604
RNF141,50862
RNF145,153830
RNF166,115992
RNF167,26001
RNF170,81790
RNF175,285533
RNF180,285671
RNF181,51255
RNF183,138065
RNF2,6045
RNF20,56254
RNF212,285498
RNF216,54476
RNF217,154214
RNF220,55182
RNF39,80352
RNF40,9810
RNF41,10193
RNF43,54894
RNF6,6049
RNF8,9025
RNFT1,51136
RNFT2,84900
RNH1,6050
RNLS,55328
RNMT,8731
RNMTL1,55178
RNPC3,55599
RNPEP,6051
RNPS1,10921
ROBO3,64221
ROCK1,6093
ROGDI,79641
ROM1,6094
ROR2,4920
RORC,6097
RP2,6102
RP9,6100
RP9P,441212
RPA1,6117
RPA3,6119
RPA4,29935
RPAIN,84268
RPE65,6121
RPF1,80135
RPGR,6103
RPGRIP1,57096
RPH3A,22895
RPH3AL,9501
RPIA,22934
RPL10,6134
RPL10L,140801
RPL13,6137
RPL15,6138
RPL22,6146
RPL23,9349
RPL27A,6157
RPL28,6158
RPL3,6122
RPL30,6156
RPL31,6160
RPL36,25873
RPL39L,116832
RPL8,6132
RPLP2,6181
RPN1,6184
RPRD1A,55197
RPRD1B,58490
RPRM,56475
RPS11,6205
RPS14,6208
RPS19,6223
RPS23,6228
RPS4Y1,6192
RPS6,6194
RPS6KA3,6197
RPS6KA5,9252
RPS6KB1,6198
RPS6KB2,6199
RRAGB,10325
RRH,10692
RRN3,54700
RRP1,8568
RRP12,23223
RRP15,51018
RRP1B,23076
RRP8,23378
RS1,6247
RSBN1,54665
RSBN1L,222194
RSL1D1,26156
RSL24D1,51187
RSPH1,89765
RSPH9,221421
RSPO2,340419
RSPO3,84870
RSPO4,343637
RSPRY1,89970
RSRP1,57035
RSU1,6251
RTCA,8634
RTDR1,27156
RTEL1,51750
RTFDC1,51507
RTN1,6252
RTN2,6253
RTN3,10313
RTN4RL1,146760
RTN4RL2,349667
RUFY3,22902
RUSC1,23623
RWDD1,51389
RWDD3,25950
RXFP1,59350
RXFP2,122042
RXFP3,51289
RXRB,6257
RYR2,6262
RYR3,6263
S100A1,6271
S100A12,6283
